tiling,unrolling,vectorize,omp,num_omp,ExecTime
128,7,1,1,2,0.0461231
256,7,1,1,2,0.0457626
512,7,1,1,2,0.0716792
1,8,1,1,2,0.0347378
2,8,1,1,2,0.066454
3,8,1,1,2,0.112988
4,8,1,1,2,0.10415
5,8,1,1,2,0.0972834
7,8,1,1,2,0.092863
8,8,1,1,2,0.0528459
16,8,1,1,2,0.0473373
32,8,1,1,2,0.0343086
64,8,1,1,2,0.0457017
128,8,1,1,2,0.0452108
256,8,1,1,2,0.0455741
512,8,1,1,2,0.073387
1,16,1,1,2,0.035697
2,16,1,1,2,0.0664954
3,16,1,1,2,0.11328
4,16,1,1,2,0.102487
5,16,1,1,2,0.0951595
7,16,1,1,2,0.0922481
8,16,1,1,2,0.089779
16,16,1,1,2,0.040579
32,16,1,1,2,0.0368824
64,16,1,1,2,0.034384
128,16,1,1,2,0.0336454
256,16,1,1,2,0.0314388
512,16,1,1,2,0.0565202
1,31,1,1,2,0.0424708
2,31,1,1,2,0.065522
3,31,1,1,2,0.112713
4,31,1,1,2,0.103379
5,31,1,1,2,0.0969902
7,31,1,1,2,0.0914807
8,31,1,1,2,0.0899292
16,31,1,1,2,0.084671
32,31,1,1,2,0.0471664
64,31,1,1,2,0.0455862
128,31,1,1,2,0.0450204
256,31,1,1,2,0.0466306
512,31,1,1,2,0.079307
1,1,0,1,3,0.0276878
2,1,0,1,3,0.0461546
3,1,0,1,3,0.127191
4,1,0,1,3,0.129633
5,1,0,1,3,0.146033
7,1,0,1,3,0.125909
8,1,0,1,3,0.124853
16,1,0,1,3,0.130877
32,1,0,1,3,0.140308
64,1,0,1,3,0.142398
128,1,0,1,3,0.18178
256,1,0,1,3,0.0688978
512,1,0,1,3,0.0756515
1,2,0,1,3,0.0287644
2,2,0,1,3,0.0424528
3,2,0,1,3,0.0645258
4,2,0,1,3,0.0484581
5,2,0,1,3,0.0565068
7,2,0,1,3,0.0525807
8,2,0,1,3,0.0478694
16,2,0,1,3,0.0493258
32,2,0,1,3,0.0535108
64,2,0,1,3,0.0539853
128,2,0,1,3,0.0698561
256,2,0,1,3,0.069498
512,2,0,1,3,0.0794836
1,3,0,1,3,0.0262866
2,3,0,1,3,0.0461103
3,3,0,1,3,0.0455278
4,3,0,1,3,0.0573094
5,3,0,1,3,0.0607964
7,3,0,1,3,0.0446316
8,3,0,1,3,0.0546359
16,3,0,1,3,0.0461964
32,3,0,1,3,0.0423474
64,3,0,1,3,0.0471314
128,3,0,1,3,0.061148
256,3,0,1,3,0.0604736
512,3,0,1,3,0.0718857
