unroll,malloc,strategy_block,strategy_loop,strategy_routine,strategy_trace,stores_always,stores_auto,stores_never,level,noipo,functions,force,builtin,ExecTime
0,0,0,1,0,0,1,0,0,1,0.0,0.0,0.0,0.0,12.67
0,0,0,1,0,0,1,0,0,1,0.0,0.0,1.0,1.0,11.25
0,0,0,1,0,0,1,0,0,1,0.0,0.0,1.0,0.0,11.62
0,0,0,1,0,0,1,0,0,2,0.0,1.0,0.0,1.0,12.98
0,0,0,1,0,0,1,0,0,2,0.0,1.0,0.0,0.0,12.72
0,0,0,1,0,0,1,0,0,2,0.0,1.0,1.0,1.0,11.18
0,0,0,1,0,0,1,0,0,2,0.0,1.0,1.0,0.0,12.02
0,0,0,1,0,0,1,0,0,2,0.0,0.0,0.0,1.0,12.96
0,0,0,1,0,0,1,0,0,2,0.0,0.0,0.0,0.0,13.21
0,0,0,1,0,0,1,0,0,2,0.0,0.0,1.0,1.0,11.6
0,0,0,1,0,0,1,0,0,2,0.0,0.0,1.0,0.0,11.29
0,0,0,1,0,0,0,0,1,0,0.0,1.0,0.0,1.0,6.1
0,0,0,1,0,0,0,0,1,0,0.0,1.0,0.0,0.0,6.29
0,0,0,1,0,0,0,0,1,0,0.0,1.0,1.0,1.0,7.37
0,0,0,1,0,0,0,0,1,0,0.0,1.0,1.0,0.0,7.58
0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,1.0,6.1
0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,6.27
0,0,0,1,0,0,0,0,1,0,0.0,0.0,1.0,1.0,7.37
0,0,0,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,7.48
0,0,0,1,0,0,0,0,1,1,0.0,1.0,0.0,1.0,6.09
0,0,0,1,0,0,0,0,1,1,0.0,1.0,0.0,0.0,6.22
0,0,0,1,0,0,0,0,1,1,0.0,1.0,1.0,1.0,6.15
0,0,0,1,0,0,0,0,1,1,0.0,1.0,1.0,0.0,6.22
0,0,0,1,0,0,0,0,1,1,0.0,0.0,0.0,1.0,6.09
0,0,0,1,0,0,0,0,1,1,0.0,0.0,0.0,0.0,6.23
0,0,0,1,0,0,0,0,1,1,0.0,0.0,1.0,1.0,7.07
0,0,0,1,0,0,0,0,1,1,0.0,0.0,1.0,0.0,6.19
