Nodes_16,Input_2000,ScatteringOrder_l0,DRAMPowerPerNode,ProcessorPowerPerNode,Ranks,Nesting_DGZ,Nesting_DZG,Nesting_GDZ,Nesting_GZD,Nesting_ZDG,Nesting_ZGD,Layout_0,Dset,Gset,Method_sweep,OMP,PKG_LIMIT,DRAM_LIMIT,AvgInst,AvgIpc,AvgArithFpu,AvgFreq,AvgTemp,ProcessorPower,DRAMPower,ExecTime,Input_12000,ScatteringOrder_l9,Nodes_64,Energy
1,1,1,33.2408625,119.8938563,32,1,0,0,0,0,0,1,16,2,1,4,85,0,73394661210,5.4679,615039594.9,2.8,37.0577,1918.3017,531.8538,5.6066,0,0,0,13737.04183
1,1,1,33.1193375,120.4499875,32,1,0,0,0,0,0,1,16,2,1,4,90,0,73297405957,5.4606,614810633.6,2.8006,38.3044,1927.1998,529.9094,5.6064,0,0,0,13775.53702
1,1,1,33.05218125,120.7737938,32,1,0,0,0,0,0,1,16,2,1,4,95,0,73534762015,5.4783,614615476.8,2.8002,38.6218,1932.3807,528.8349,5.6066,0,0,0,13799.05138
1,1,1,33.09936875,119.5524,32,1,0,0,0,0,0,1,16,2,1,4,100,0,73344158760,5.4641,614769210,2.8007,37.7074,1912.8384,529.5899,5.6064,0,0,0,13693.23002
1,1,1,31.34559375,88.38393125,32,1,0,0,0,0,0,1,16,4,1,4,50,0,87686974617,4.2392,616543853.8,2.1409,33.6344,1414.1429,501.5295,8.6197,0,0,0,16512.52139
1,1,1,32.1811375,97.86685625,32,1,0,0,0,0,0,1,16,4,1,4,55,0,84908815598,4.7782,615684355.8,2.3938,32.6739,1565.8697,514.8982,7.4146,0,0,0,15428.06167
1,1,1,32.2772375,106.1606875,32,1,0,0,0,0,0,1,16,4,1,4,60,0,83094244915,5.0935,615053531.6,2.5796,35.1161,1698.571,516.4358,6.8153,0,0,0,15095.93584
1,1,1,32.63428125,115.0420125,32,1,0,0,0,0,0,1,16,4,1,4,65,0,81232753560,5.305,614846569.9,2.7213,35.4079,1840.6722,522.1485,6.4075,0,0,0,15139.77364
1,1,1,33.048775,117.543975,32,1,0,0,0,0,0,1,16,4,1,4,70,0,75878749799,5.458,613402321.3,2.7873,35.9625,1880.7036,528.7804,5.8071,0,0,0,13992.11454
1,1,1,32.99144375,119.300925,32,1,0,0,0,0,0,1,16,4,1,4,75,0,77630807301,5.584,613756179.4,2.7987,37.6271,1908.8148,527.8631,5.8068,0,0,0,14149.30123
1,1,1,33.0644625,119.7641688,32,1,0,0,0,0,0,1,16,4,1,4,80,0,77098649612,5.5458,613692251.1,2.8001,37.137,1916.2267,529.0314,5.8067,0,0,0,14198.88021
1,1,1,33.09650625,119.8283188,32,1,0,0,0,0,0,1,16,4,1,4,85,0,76004417050,5.4555,613675143.4,2.8004,36.8101,1917.2531,529.5441,5.8068,0,0,0,14208.06198
1,1,1,33.0574375,120.1672438,32,1,0,0,0,0,0,1,16,4,1,4,90,0,77464624270,5.5722,613707036.2,2.8002,38.2995,1922.6759,528.919,5.8066,0,0,0,14235.43095
1,1,1,32.93308125,118.6440875,32,1,0,0,0,0,0,1,16,4,1,4,95,0,75995359752,5.4665,613464354.5,2.8012,38.3849,1898.3054,526.9293,5.8068,0,0,0,14082.85286
1,1,1,33.26069375,120.7906188,32,1,0,0,0,0,0,1,16,4,1,4,100,0,75530123890,5.6271,613558187,2.8006,37.9784,1932.6499,532.1711,5.6064,0,0,0,13818.77245
1,1,1,31.11464375,88.81668125,32,1,0,0,0,0,0,1,16,8,1,4,50,0,93787336317,4.3319,614609642.3,2.1399,33.638,1421.0669,497.8343,9.0203,0,0,0,17309.06449
1,1,1,31.966475,98.5494,32,1,0,0,0,0,0,1,16,8,1,4,55,0,91285601189,4.8756,614400103.2,2.3907,32.7426,1576.7904,511.4636,7.8163,0,0,0,16322.41974
