Nodes_16,Input_12000,ScatteringOrder_l0,DRAMPowerPerNode,ProcessorPowerPerNode,Ranks,Nesting_DGZ,Nesting_DZG,Nesting_GDZ,Nesting_GZD,Nesting_ZDG,Nesting_ZGD,Layout_0,Dset,Gset,Method_sweep,OMP,PKG_LIMIT,DRAM_LIMIT,AvgInst,AvgIpc,AvgArithFpu,AvgFreq,AvgTemp,ProcessorPower,DRAMPower,ExecTime,Input_2000,ScatteringOrder_l9,Nodes_64
1.0,1.0,1.0,29.40211875,109.790425,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,16,1.0,4,60,0,1.37211549679e+12,7.5702,702471328.188,2.6967,35.7829,1756.6468,470.4339,75.7195,0.0,0.0,0.0
1.0,1.0,1.0,29.68756875,115.70695,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,16,1.0,4,65,0,1.33787004924e+12,7.9958,690534170.562,2.7699,36.3047,1851.3112,475.0011,69.8856,0.0,0.0,0.0
1.0,1.0,1.0,29.630825,117.59285,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,16,1.0,4,70,0,1.33222843171e+12,8.1013,687794809.312,2.7949,37.7601,1881.4856,474.0932,68.6855,0.0,0.0,0.0
1.0,1.0,1.0,29.62080625,117.6997875,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,16,1.0,4,75,0,1.33744229023e+12,8.0444,691296873.625,2.8012,37.8166,1883.1966,473.9329,69.4875,0.0,0.0,0.0
1.0,1.0,1.0,29.62685625,118.0216375,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,16,1.0,4,80,0,1.33499703835e+12,8.0784,689768538.312,2.8018,38.3502,1888.3462,474.0297,69.0941,0.0,0.0,0.0
1.0,1.0,1.0,29.57853125,118.01915,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,16,1.0,4,85,0,1.33748051145e+12,8.0627,691075896.812,2.8025,38.3971,1888.3064,473.2565,69.2873,0.0,0.0,0.0
1.0,1.0,1.0,29.6402125,118.2875375,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,16,1.0,4,90,0,1.33367447866e+12,8.0829,689383909.75,2.8013,39.0038,1892.6006,474.2434,68.9194,0.0,0.0,0.0
1.0,1.0,1.0,29.49724375,118.354375,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,16,1.0,4,95,0,1.34091961186e+12,8.0312,692218898.375,2.8017,39.3659,1893.67,471.9559,69.7197,0.0,0.0,0.0
1.0,1.0,1.0,29.5538375,117.7139,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,16,1.0,4,100,0,1.34358872554e+12,8.0034,693517966.25,2.8017,38.6619,1883.4224,472.8614,70.0867,0.0,0.0,0.0
1.0,1.0,1.0,28.13475625,101.540425,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,32,1.0,4,55,0,1.455242089e+12,6.8955,716093973.688,2.5414,35.0584,1624.6468,450.1561,88.1342,0.0,0.0,0.0
1.0,1.0,1.0,28.33929375,109.70480625,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,32,1.0,4,60,0,1.43068306635e+12,7.4023,712299003.875,2.7003,35.6585,1755.2769,453.4287,80.701,0.0,0.0,0.0
1.0,1.0,1.0,28.57688125,115.4363875,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,32,1.0,4,65,0,1.3884904535e+12,7.847,699685111.438,2.7753,36.2932,1846.9822,457.2301,73.8914,0.0,0.0,0.0
1.0,1.0,1.0,28.49148125,117.2389625,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,32,1.0,4,70,0,1.38137576381e+12,7.9359,697181045.25,2.7961,37.6022,1875.8234,455.8637,72.6898,0.0,0.0,0.0
1.0,1.0,1.0,28.540275,117.563025,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,32,1.0,4,75,0,1.38147754265e+12,7.9378,698156455.062,2.8005,37.6821,1881.0084,456.6444,72.6895,0.0,0.0,0.0
1.0,1.0,1.0,28.502975,117.7052625,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,32,1.0,4,80,0,1.38177500295e+12,7.9228,698182887.688,2.8018,38.197,1883.2842,456.0476,72.9019,0.0,0.0,0.0
1.0,1.0,1.0,28.51675625,118.08795625,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,32,1.0,4,85,0,1.37897290571e+12,7.9671,697479370.125,2.8009,38.2372,1889.4073,456.2681,72.2891,0.0,0.0,0.0
1.0,1.0,1.0,28.50804375,117.85629375,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,32,1.0,4,90,0,1.38098197641e+12,7.9327,697863580.688,2.8017,38.8832,1885.7007,456.1287,72.7156,0.0,0.0,0.0
1.0,1.0,1.0,28.41595625,117.66950625,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,32,1.0,4,95,0,1.38628038209e+12,7.9242,699941399.188,2.8012,39.1291,1882.7121,454.6553,73.109,0.0,0.0,0.0
1.0,1.0,1.0,28.5131375,117.3962375,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,32,1.0,4,100,0,1.3839134375e+12,7.9521,698033961.938,2.8022,38.5497,1878.3398,456.2102,72.6898,0.0,0.0,0.0
1.0,1.0,1.0,33.733475,98.5347375,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,1,1.0,4,55,0,1.41138210668e+12,5.5042,805768468.562,2.4355,34.4989,1576.5558,539.7356,107.0756,0.0,0.0,0.0
1.0,1.0,1.0,34.535625,107.50121875,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,1,1.0,4,60,0,1.39573705995e+12,6.0676,788047446.625,2.6569,34.955,1720.0195,552.57,96.1251,0.0,0.0,0.0
1.0,1.0,1.0,35.39211875,114.49200625,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,1,1.0,4,65,0,1.35509455962e+12,6.5115,754798704.375,2.7578,35.8483,1831.8721,566.2739,86.9114,0.0,0.0,0.0
1.0,1.0,1.0,35.550375,116.9945125,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,1,1.0,4,70,0,1.34393196638e+12,6.6801,740012799.125,2.7933,37.2564,1871.9122,568.806,84.1067,0.0,0.0,0.0
1.0,1.0,1.0,35.6788875,118.0759,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,1,1.0,4,75,0,1.3413785834e+12,6.7244,735985642.875,2.8001,37.5219,1889.2144,570.8622,83.307,0.0,0.0,0.0
1.0,1.0,1.0,35.71759375,117.97743125,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,1,1.0,4,80,0,1.33938146674e+12,6.7629,732799014.438,2.8031,37.9752,1887.6389,571.4815,82.7441,0.0,0.0,0.0
1.0,1.0,1.0,35.6170875,118.1241375,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,1,1.0,4,85,0,1.34269363598e+12,6.7138,737079588.375,2.8018,37.9275,1889.9862,569.8734,83.7066,0.0,0.0,0.0
1.0,1.0,1.0,35.73545625,118.6801625,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,1,1.0,4,90,0,1.33856339581e+12,6.7599,733456719.812,2.8012,38.4984,1898.8826,571.7673,82.7046,0.0,0.0,0.0
1.0,1.0,1.0,35.5014875,118.00291875,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,1,1.0,4,95,0,1.34682491314e+12,6.6876,740875094.375,2.8016,38.747,1888.0467,568.0238,84.1079,0.0,0.0,0.0
1.0,1.0,1.0,35.7692375,118.04624375,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,1,1.0,4,100,0,1.33541765374e+12,6.7766,731138010.562,2.8017,38.2453,1888.7399,572.3078,82.3059,0.0,0.0,0.0
1.0,1.0,1.0,33.65679375,98.36058125,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,2,1.0,4,55,0,1.42712042636e+12,5.5636,780236968.0,2.4338,34.4646,1573.7693,538.5087,107.0913,0.0,0.0,0.0
1.0,1.0,1.0,34.578575,107.72823125,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,2,1.0,4,60,0,1.40039969833e+12,6.1924,757262679.375,2.6516,35.0667,1723.6517,553.2572,94.5278,0.0,0.0,0.0
1.0,1.0,1.0,35.36255,114.61488125,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,2,1.0,4,65,0,1.3621203488e+12,6.6177,734718332.75,2.7576,35.7807,1833.8381,565.8008,85.91,0.0,0.0,0.0
1.0,1.0,1.0,35.6343375,117.59143125,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,2,1.0,4,70,0,1.34461186236e+12,6.7969,717670119.5,2.7914,37.3343,1881.4629,570.1494,82.7059,0.0,0.0,0.0
1.0,1.0,1.0,35.65139375,118.2978,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,2,1.0,4,75,0,1.3451054978e+12,6.8082,719803964.625,2.8007,37.4317,1892.7648,570.4223,82.5475,0.0,0.0,0.0
1.0,1.0,1.0,35.52024375,118.12371875,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,2,1.0,4,80,0,1.35096120522e+12,6.7582,725161734.062,2.8015,37.8817,1889.9795,568.3239,83.5041,0.0,0.0,0.0
1.0,1.0,1.0,35.57418125,118.222675,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,2,1.0,4,85,0,1.35030930467e+12,6.77,723716269.125,2.8024,37.9821,1891.5628,569.1869,83.3082,0.0,0.0,0.0
1.0,1.0,1.0,35.61228125,118.4962875,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,2,1.0,4,90,0,1.34833695523e+12,6.7914,722625010.688,2.802,38.4185,1895.9406,569.7965,82.9448,0.0,0.0,0.0
1.0,1.0,1.0,35.62716875,118.95946875,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,2,1.0,4,95,0,1.34233235378e+12,6.8439,717101402.188,2.8011,38.8929,1903.3515,570.0347,81.9054,0.0,0.0,0.0
1.0,1.0,1.0,35.600925,118.25720625,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,2,1.0,4,100,0,1.34835253679e+12,6.8087,720311219.438,2.8009,38.3784,1892.1153,569.6148,82.705,0.0,0.0,0.0
1.0,1.0,1.0,33.6665375,98.71576875,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,4,1.0,4,55,0,1.44346788162e+12,5.7064,750712175.5,2.4418,34.8106,1579.4523,538.6646,105.7067,0.0,0.0,0.0
1.0,1.0,1.0,34.56775625,107.86990625,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,4,1.0,4,60,0,1.41855858617e+12,6.2533,739254672.062,2.6587,35.0033,1725.9185,553.0841,94.7222,0.0,0.0,0.0
1.0,1.0,1.0,35.30411875,114.877,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,4,1.0,4,65,0,1.37511508536e+12,6.653,720679040.5,2.7572,35.9149,1838.032,564.8659,86.3321,0.0,0.0,0.0
1.0,1.0,1.0,35.5911,117.9378125,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,4,1.0,4,70,0,1.35375408579e+12,6.8344,706058339.062,2.7922,37.3911,1887.005,569.4576,82.7235,0.0,0.0,0.0
1.0,1.0,1.0,35.4707,118.124175,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,4,1.0,4,75,0,1.36283212948e+12,6.7825,713983070.5,2.801,37.4098,1889.9868,567.5312,83.9573,0.0,0.0,0.0
1.0,1.0,1.0,35.53891875,118.60155625,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,4,1.0,4,80,0,1.35958428428e+12,6.8168,710795809.938,2.8015,38.0211,1897.6249,568.6227,83.3077,0.0,0.0,0.0
1.0,1.0,1.0,35.48799375,118.09955,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,4,1.0,4,85,0,1.36390018043e+12,6.7878,713696621.625,2.8022,38.0482,1889.5928,567.8079,83.9085,0.0,0.0,0.0
1.0,1.0,1.0,35.538,118.72695,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,4,1.0,4,90,0,1.35972972237e+12,6.8175,710710059.875,2.8009,38.5907,1899.6312,568.608,83.3053,0.0,0.0,0.0
